year,month,pickup_location_id,dropoff_location_id,p90_travel_time
2019,7,159,264,252460901
2019,10,159,264,252460901
2019,3,260,186,17886158
2019,4,265,264,15294840
2019,4,265,265,12789840
2019,3,223,186,12789115
2019,5,265,264,10282620
2019,5,265,265,5098980
2019,10,156,204,2853914
2019,10,115,1,2853597
2019,10,204,115,2767438
2019,10,109,187,2767099
2019,10,1,187,2767074
2019,10,44,214,2766575
2019,10,187,109,2766346
2019,10,6,1,2766325
2019,10,1,6,2766150
2019,10,99,176,2766005
2019,10,44,251,2681359
2019,10,1,172,2681178
2019,10,214,204,2681002
2019,10,251,44,2680492
2019,10,1,221,2680487
2019,10,109,221,2680451
2019,10,172,204,2680228
2019,10,23,109,2680160
2019,10,251,176,2680147
2019,10,204,172,2679946
2019,10,204,176,2679942
2019,10,176,204,2679529
2019,10,172,118,2679290
2019,10,23,204,2679254
2019,10,172,6,2679183
2019,10,6,251,2679070
2019,10,176,172,2678919
2019,10,214,6,2678895
2019,10,172,176,2678576
2019,10,1,1,2678408
2019,10,251,204,2594457
2019,10,176,245,2594040
2019,10,44,6,2593712
2019,10,44,172,2593615
2019,10,44,176,2593605
2019,10,1,118,2593415
2019,10,109,176,2593397
2019,10,44,99,2593259
2019,10,245,176,2593212
2019,10,176,109,2593195
2019,10,118,6,2593180
2019,10,204,23,2593156
2019,10,176,5,2593052
2019,10,251,118,2592839
2019,10,99,109,2592581
2019,10,109,99,2592427
2019,10,6,214,2592099
2019,10,172,115,2592007
2019,10,176,187,2509157
2019,10,204,251,2507903
2019,10,109,156,2507791
2019,10,1,176,2507252
2019,10,156,109,2507139
2019,10,6,23,2506611
2019,10,118,44,2506332
2019,10,109,5,2505967
2019,10,5,5,2505949
2019,10,84,84,2505857
2019,10,214,1,2505795
2019,10,44,156,2505608
2019,10,118,109,2421475
2019,10,1,109,2421114
2019,10,84,214,2420576
2019,10,109,109,2420313
2019,10,118,5,2420247
2019,10,44,23,2420089
2019,10,109,118,2420022
2019,10,172,109,2420014
2019,10,5,204,2419751
2019,10,44,44,2419646
2019,10,118,1,2419624
